#Classification strategy
#(0) Hopeless
#(1) Arcs or arc constraints (basically anything with scintles resolved in time)
#(2) f_scint constraints (observable scint, not resolved in time)
#(3) Needs a re-do with different filtering pars
#(4) = 1+3), Arcs, but needs a re-do
#(5) = 2+3), f_scint, but needs a re-do
#(6) Borderline, or unsure

#PSRNAME CLASS
J1339-6618 0
J1340-6456 1
J1341-6023 0
J1341-6220 0
J1345-6115 0
J1346-4918 2
J1347-5947 0
J1349-6130 0
J1350-5115 1
J1352-6803 1
J1355-5153 1
J1355-5925 0
J1355-6206 0
J1356-5521 1
J1357-62   0
J1357-6429 0
J1359-6038 6
J1400-6325 0
J1401-6357 1
J1402-5124 3
J1403-6310 0
J1403-7646 3
J1404+1159 1
J1405-5641 3
J1406-5806 3
J1406-6121 0
J1407-6048 0
J1409-6953 0
J1410-6132 0
J1410-7404 2
J1412-6111 0
J1412-6145 0
J1413-6141 0
J1413-6222 0
J1413-6307 0
J1414-6802 1
J1415-6621 0
J1416-6037 0
J1418-3921 1
J1420-5416 1
J1420-6048 0
J1423-6953 3
J1424-5556 3
J1424-5822 0
J1424-6438 3
J1425-5723 1
J1425-5759 0
J1425-6210 0
J1427-4158 1
J1428-5530 4
J1429-5935 3
J1430-6623 1
J1434-6006 0
J1435-5954 1
J1437-6146 0
J1440-6344 1
J1443-5122 1
J1444-6026 3
J1449-5846 0
J1452-5851 0
J1452-6036 0
J1453-6413 2
J1456-6843 2
J1457-5902 0
J1501-0046 5
J1502-6128 0
J1503+2111 3
J1504-5621 0
J1507-4352 2
J1507-6640 1
J1509-5850 0
J1509-6015 0
J1511-5414 2
J1511-5835 0
J1512-5431 3
J1512-5759 0
J1513-5739 0
J1513-5908 0
J1513-5946 3
J1514-4834 1
J1514-5925 0
J1515-5720 0
J1517-4356 1
J1517-4636 2
J1518-0627 5
J1518-3952 0
J1518-5415 0
J1519-5734 0
J1519-6308 0
J1522-5525 0
J1522-5829 0
J1524-5625 0
J1524-5706 0
J1524-5819 0
J1525-5417 3
J1525-5523 0
J1525-5605 0
J1527-3931 4
J1527-5552 0
J1528-4109 1
J1530-5327 1
J1530-6343 1
J1531-4012 2
J1531-5610 0
J1534-4428 0
J1534-5334 1
J1534-5405 0
J1535-4114 4
J1535-4415 0
J1535-5450 0
J1535-5848 0
J1536-3602 3
J1536-5907 0
J1537-4912 4
J1537-5153 0
J1538+2345 0
J1538-5438 6
J1538-5551 0
J1538-5732 0
J1538-5750 0
J1539-4828 6
J1539-5521 3
J1539-5626 0
J1539-6322 1
J1542-5034 2
J1542-5303 0
J1543+0929 2
J1543-0620 2
J1543-5013 0
J1543-5459 0
J1544-5308 2
J1546-5302 0
J1547-5750 0
J1547-5839 0
J1548-4821 0
J1548-4927 3
J1548-5607 0
J1549+2113 3
J1549-4848 1
J1549-5722 3
J1550-5242 0
J1550-5418 0
J1551-4424 3
J1551-5310 0
J1551-6214 0
J1554-5209 0
J1555-0515 2
J1555-2341 1
J1555-3134 1
J1557-4258 1
J1558-5756 6
J1559-4438 2
J1600-5044 0
J1600-5751 0
J1601-5335 0
J1602-5100 0
J1603-2531 1
J1603-2712 4
J1603-3539 2
J1603-5657 0
J1604-4718 0
J1604-4909 1
J1604-7203 2
J1605-5257 1
J1607-0032 2
J1607-6449 0
J1609-4616 0
J1610-5006 0
J1611-4949 0
J1611-5209 0
J1611-5847 2
J1612+2008 0
J1612-5805 0
J1613-4714 0
J1613-5211 0
J1614+0737 1
J1614-3937 0
J1614-5048 0
J1615-5444 3
J1615-5537 1
J1616-5017 0
J1617-4608 0
J1617-5055 0
J1618-4723 0
J1620-5414 3
J1621-5039 3
J1621-5243 0
J1622-3751 0
J1622-4332 0
J1622-4347 0
J1622-4802 0
J1622-4950 0
J1623-0841 0
J1623-0908 1
J1623-4949 0
J1624-4411 0
J1625-4048 3
J1625-4904 0
J1625-4913 0
J1626-4537 0
